id	description	type
gbif.org/species/2477472	Residente	Estado de cada taxón
gbif.org/species/2477473	Residente	Estado de cada taxón
gbif.org/species/2477572	Residente	Estado de cada taxón
gbif.org/species/2477622	Residente	Estado de cada taxón
gbif.org/species/2477618	Residente	Estado de cada taxón
gbif.org/species/2477630	Residente	Estado de cada taxón
gbif.org/species/2477621	Residente	Estado de cada taxón
gbif.org/species/2477528	Residente	Estado de cada taxón
gbif.org/species/2477533	Residente	Estado de cada taxón
gbif.org/species/2477507	Residente	Estado de cada taxón
gbif.org/species/2477535	Residente	Estado de cada taxón
gbif.org/species/2477560	Residente	Estado de cada taxón
gbif.org/species/2477534	Residente	Estado de cada taxón
gbif.org/species/2477546	Residente	Estado de cada taxón
gbif.org/species/2477557	Residente	Estado de cada taxón
gbif.org/species/2477527	Residente	Estado de cada taxón
gbif.org/species/2477532	Hipotética	Estado de cada taxón
gbif.org/species/2477556	Hipotética	Estado de cada taxón
gbif.org/species/2477570	Residente	Estado de cada taxón
gbif.org/species/2497983	Residente	Estado de cada taxón
gbif.org/species/5959223	Residente	Estado de cada taxón
gbif.org/species/2498402	Residente	Estado de cada taxón
gbif.org/species/2498396	Residente	Estado de cada taxón
gbif.org/species/2498393	Residente	Estado de cada taxón
gbif.org/species/7373023	Residente	Estado de cada taxón
gbif.org/species/9751099	Residente	Estado de cada taxón
gbif.org/species/2498003	Residente	Estado de cada taxón
gbif.org/species/2498252	Exótica establecida	Estado de cada taxón
gbif.org/species/2498411	Migratorio Austral? - Residente	Estado de cada taxón
gbif.org/species/2498275	Residente	Estado de cada taxón
gbif.org/species/9583342	Hipotética	Estado de cada taxón
gbif.org/species/8332393	Migratorio Boreal	Estado de cada taxón
gbif.org/species/9422220	Migratorio Boreal - Residente	Estado de cada taxón
gbif.org/species/9345027	Migratorio Boreal - Residente	Estado de cada taxón
gbif.org/species/2498155	Migratorio Boreal	Estado de cada taxón
gbif.org/species/2498090	Residente	Estado de cada taxón
gbif.org/species/2498112	Migratorio Boreal	Estado de cada taxón
gbif.org/species/2498127	Residente	Estado de cada taxón
gbif.org/species/8214667	Errática	Estado de cada taxón
gbif.org/species/2498068	Residente	Estado de cada taxón
gbif.org/species/9362027	Errática	Estado de cada taxón
gbif.org/species/2498177	Residente	Estado de cada taxón
gbif.org/species/2498264	Errática	Estado de cada taxón
gbif.org/species/2498257	Migratorio Boreal	Estado de cada taxón
gbif.org/species/2498250	Hipotética	Estado de cada taxón
gbif.org/species/2498375	Migratorio Boreal	Estado de cada taxón
gbif.org/species/2498316	Residente	Estado de cada taxón
gbif.org/species/2498305	Migratorio Boreal? - Residente	Estado de cada taxón
gbif.org/species/2482183	Residente	Estado de cada taxón
gbif.org/species/2482208	Residente	Estado de cada taxón
gbif.org/species/2482216	Residente	Estado de cada taxón
gbif.org/species/2482198	Residente	Estado de cada taxón
gbif.org/species/9462558	Residente	Estado de cada taxón
gbif.org/species/2482225	Residente	Estado de cada taxón
gbif.org/species/2482224	Residente Endémica	Estado de cada taxón
gbif.org/species/2482310	Residente	Estado de cada taxón
gbif.org/species/2482313	Residente	Estado de cada taxón
gbif.org/species/5229450	Residente	Estado de cada taxón
gbif.org/species/5229446	Residente Endémica	Estado de cada taxón
gbif.org/species/5229447	Residente	Estado de cada taxón
gbif.org/species/5229435	Residente	Estado de cada taxón
gbif.org/species/5229460	Residente Endémica	Estado de cada taxón
gbif.org/species/2482254	Residente	Estado de cada taxón
gbif.org/species/5229436	Hipotética	Estado de cada taxón
gbif.org/species/2482190	Residente	Estado de cada taxón
gbif.org/species/2482168	Residente	Estado de cada taxón
gbif.org/species/2482178	Residente Endémica	Estado de cada taxón
gbif.org/species/2482172	Residente	Estado de cada taxón
gbif.org/species/2482173	Residente	Estado de cada taxón
gbif.org/species/2482171	Residente	Estado de cada taxón
gbif.org/species/2482282	Residente	Estado de cada taxón
gbif.org/species/2482276	Residente	Estado de cada taxón
gbif.org/species/2482278	Residente	Estado de cada taxón
gbif.org/species/2482271	Residente	Estado de cada taxón
gbif.org/species/2474165	Residente	Estado de cada taxón
gbif.org/species/5228112	Residente	Estado de cada taxón
gbif.org/species/5228058	Residente	Estado de cada taxón
gbif.org/species/5228053	Residente	Estado de cada taxón
gbif.org/species/5228045	Residente	Estado de cada taxón
gbif.org/species/5228067	Residente Endémica	Estado de cada taxón
gbif.org/species/5228049	Residente	Estado de cada taxón
gbif.org/species/5228035	Residente	Estado de cada taxón
gbif.org/species/5228040	Residente	Estado de cada taxón
gbif.org/species/5228041	Residente Endémica	Estado de cada taxón
gbif.org/species/2481110	Errática	Estado de cada taxón
gbif.org/species/9691034	Residente	Estado de cada taxón
gbif.org/species/2482044	Residente	Estado de cada taxón
gbif.org/species/2482077	Residente	Estado de cada taxón
gbif.org/species/2482050	Residente Endémica - Extinta	Estado de cada taxón
gbif.org/species/2482063	Residente	Estado de cada taxón
