id	countryCode	establishmentMeans	threatStatus
gbif.org/species/2477472	CO		LC
gbif.org/species/2477473	CO		LC
gbif.org/species/2477572	CO		LC
gbif.org/species/2477622	CO		VU
gbif.org/species/2477618	CO		VU
gbif.org/species/2477630	CO		NT
gbif.org/species/2477621	CO		NT
gbif.org/species/2477528	CO		LC
gbif.org/species/2477533	CO		LC
gbif.org/species/2477507	CO		LC
gbif.org/species/2477535	CO		LC
gbif.org/species/2477560	CO		LC
gbif.org/species/2477534	CO		NT
gbif.org/species/2477546	CO		LC
gbif.org/species/2477557	CO		VU
gbif.org/species/2477527	CO		LC
gbif.org/species/2477532	CO		LC
gbif.org/species/2477556	CO		LC
gbif.org/species/2477570	CO		LC
gbif.org/species/2497983	CO		LC
gbif.org/species/5959223	CO		NT
gbif.org/species/2498402	CO		LC
gbif.org/species/2498396	CO		LC
gbif.org/species/2498393	CO		LC
gbif.org/species/7373023	CO		NT
gbif.org/species/9751099	CO		LC
gbif.org/species/2498003	CO		LC
gbif.org/species/2498252	CO	Exótica	LC
gbif.org/species/2498411	CO		LC
gbif.org/species/2498275	CO		LC
gbif.org/species/9583342	CO		LC
gbif.org/species/8332393	CO		LC
gbif.org/species/9422220	CO		LC
gbif.org/species/9345027	CO		LC
gbif.org/species/2498155	CO		LC
gbif.org/species/2498090	CO		LC
gbif.org/species/2498112	CO		LC
gbif.org/species/2498127	CO		LC
gbif.org/species/8214667	CO		LC
gbif.org/species/2498068	CO		LC
gbif.org/species/9362027	CO		LC
gbif.org/species/2498177	CO		LC
gbif.org/species/2498264	CO		LC
gbif.org/species/2498257	CO		LC
gbif.org/species/2498250	CO		NT
gbif.org/species/2498375	CO		LC
gbif.org/species/2498316	CO		LC
gbif.org/species/2498305	CO		LC
gbif.org/species/2482183	CO		LC
gbif.org/species/2482208	CO		LC
gbif.org/species/2482216	CO		EN
gbif.org/species/2482198	CO		LC
gbif.org/species/9462558	CO		LC
gbif.org/species/2482225	CO		LC
gbif.org/species/2482224	CO	Endémica	EN
gbif.org/species/2482310	CO		LC
gbif.org/species/2482313	CO		NT
gbif.org/species/5229450	CO		LC
gbif.org/species/5229446	CO	Endémica	LC
gbif.org/species/5229447	CO		LC
gbif.org/species/5229435	CO		VU
gbif.org/species/5229460	CO	Endémica	LC
gbif.org/species/2482254	CO		LC
gbif.org/species/5229436	CO		LC
gbif.org/species/2482190	CO		LC
gbif.org/species/2482168	CO		VU
gbif.org/species/2482178	CO	Endémica	CR
gbif.org/species/2482172	CO		NT
gbif.org/species/2482173	CO		VU
gbif.org/species/2482171	CO		EN
gbif.org/species/2482282	CO		NT
gbif.org/species/2482276	CO		LC
gbif.org/species/2482278	CO		LC
gbif.org/species/2482271	CO		EN
gbif.org/species/2474165	CO		LC
gbif.org/species/5228112	CO		LC
gbif.org/species/5228058	CO		NT
gbif.org/species/5228053	CO		VU
gbif.org/species/5228045	CO		LC
gbif.org/species/5228067	CO	Endémica	NT
gbif.org/species/5228049	CO		VU
gbif.org/species/5228035	CO		NT
gbif.org/species/5228040	CO		VU
gbif.org/species/5228041	CO	Endémica	EN
gbif.org/species/2481110	CO		NT
gbif.org/species/9691034	CO		LC
gbif.org/species/2482044	CO		LC
gbif.org/species/2482077	CO		LC
gbif.org/species/2482050	CO	Endémica	EX
gbif.org/species/2482063	CO		LC
gbif.org/species/2495414	CO	Exótica	LC
gbif.org/species/2495310	CO		NT
gbif.org/species/2495339	CO		LC
gbif.org/species/2495331	CO		LC
gbif.org/species/2495266	CO		LC
gbif.org/species/2495295	CO		LC
gbif.org/species/2495314	CO		LC
gbif.org/species/2495321	CO		VU
gbif.org/species/2495284	CO		LC
gbif.org/species/2495333	CO		LC
gbif.org/species/5843937	CO		EN
gbif.org/species/2496115	CO		LC
gbif.org/species/2496121	CO		LC
gbif.org/species/2496109	CO		LC
gbif.org/species/8320381	CO		LC
gbif.org/species/2496060	CO		LC
gbif.org/species/2496089	CO		LC
gbif.org/species/2496093	CO	Endémica	EN
gbif.org/species/2496098	CO		LC
gbif.org/species/2496075	CO		LC
gbif.org/species/2496081	CO		LC
gbif.org/species/2496078	CO		LC
gbif.org/species/8243080	CO		LC
gbif.org/species/7671500	CO		LC
gbif.org/species/8184592	CO		NT
gbif.org/species/2495370	CO		LC
gbif.org/species/2495358	CO		LC
gbif.org/species/2495347	CO		LC
gbif.org/species/2495922	CO		LC
gbif.org/species/11100322	CO		LC
gbif.org/species/2495178	CO		LC
gbif.org/species/2495869	CO		LC
gbif.org/species/2495853	CO		LC
gbif.org/species/2495858	CO		LC
gbif.org/species/2495892	CO		LC
gbif.org/species/2495888	CO		LC
gbif.org/species/2495865	CO		LC
gbif.org/species/2495891	CO		LC
gbif.org/species/2496210	CO		LC
gbif.org/species/2496209	CO		LC
gbif.org/species/2496211	CO		LC
gbif.org/species/5231932	CO		LC
gbif.org/species/2496517	CO		LC
gbif.org/species/2496516	CO		LC
gbif.org/species/5232020	CO		VU
gbif.org/species/5232019	CO		EN
gbif.org/species/5232014	CO		LC
gbif.org/species/5232016	CO		LC
gbif.org/species/7340209	CO		LC
gbif.org/species/5788391	CO		LC
gbif.org/species/5788393	CO		LC
gbif.org/species/2496432	CO		LC
gbif.org/species/2496431	CO		LC
gbif.org/species/2496297	CO		LC
gbif.org/species/2496287	CO		LC
gbif.org/species/2496293	CO		LC
gbif.org/species/2496294	CO		LC
gbif.org/species/2496286	CO		LC
gbif.org/species/2496292	CO		LC
gbif.org/species/2497150	CO		LC
gbif.org/species/2496801	CO		LC
gbif.org/species/2496796	CO		LC
gbif.org/species/2496811	CO		LC
gbif.org/species/2496800	CO		LC
gbif.org/species/10159747	CO		LC
gbif.org/species/2496814	CO		LC
gbif.org/species/7342291	CO		LC
gbif.org/species/2497045	CO		LC
gbif.org/species/2497028	CO		LC
gbif.org/species/2497052	CO		LC
gbif.org/species/2497035	CO		LC
gbif.org/species/2497031	CO		LC
gbif.org/species/2497082	CO		LC
gbif.org/species/2497088	CO		LC
gbif.org/species/2496817	CO		LC
gbif.org/species/7658073	CO		LC
gbif.org/species/7784172	CO		LC
gbif.org/species/2496990	CO		LC
gbif.org/species/2497078	CO		LC
gbif.org/species/2497074	CO		LC
gbif.org/species/8265214	CO		LC
gbif.org/species/7676017	CO		LC
gbif.org/species/7792881	CO		LC
gbif.org/species/2497011	CO		LC
gbif.org/species/2497009	CO		NT
gbif.org/species/2497005	CO		LC
gbif.org/species/6101173	CO		LC
gbif.org/species/6101180	CO		LC
gbif.org/species/2477289	CO		DD
gbif.org/species/2477280	CO		LC
gbif.org/species/2477282	CO		LC
gbif.org/species/2477290	CO		LC
gbif.org/species/2477071	CO		LC
gbif.org/species/2477082	CO		LC
gbif.org/species/5228621	CO		LC
gbif.org/species/5228635	CO		LC
gbif.org/species/5228633	CO		LC
gbif.org/species/4409023	CO		NT
gbif.org/species/5228630	CO		LC
gbif.org/species/5228629	CO		LC
gbif.org/species/5228607	CO		LC
gbif.org/species/2477116	CO		LC
gbif.org/species/2477430	CO		LC
gbif.org/species/2477436	CO		LC
gbif.org/species/2477137	CO		LC
gbif.org/species/5228593	CO		LC
gbif.org/species/2476195	CO		LC
gbif.org/species/2476380	CO		LC
gbif.org/species/2476377	CO		LC
gbif.org/species/2476888	CO		LC
gbif.org/species/2476892	CO		LC
gbif.org/species/5228462	CO		LC
gbif.org/species/5228472	CO		LC
gbif.org/species/2476580	CO		LC
gbif.org/species/2476632	CO		LC
gbif.org/species/2476600	CO		LC
gbif.org/species/2476584	CO		LC
gbif.org/species/2476636	CO		LC
gbif.org/species/2476628	CO		LC
gbif.org/species/2476595	CO		LC
gbif.org/species/2476619	CO		LC
gbif.org/species/2476588	CO		LC
gbif.org/species/2476607	CO		LC
gbif.org/species/2476589	CO		LC
gbif.org/species/2476576	CO		LC
gbif.org/species/2476621	CO		LC
gbif.org/species/2476612	CO		LC
gbif.org/species/2476971	CO		LC
gbif.org/species/2476968	CO		LC
gbif.org/species/8752472	CO		LC
gbif.org/species/2476199	CO		LC
gbif.org/species/5228485	CO		LC
gbif.org/species/9053125	CO		LC
gbif.org/species/5228474	CO		LC
gbif.org/species/2476330	CO		LC
gbif.org/species/2476219	CO		LC
gbif.org/species/2476220	CO		LC
gbif.org/species/2477020	CO		LC
gbif.org/species/2477024	CO		LC
gbif.org/species/2476721	CO		LC
gbif.org/species/2476346	CO		LC
gbif.org/species/2476722	CO		LC
gbif.org/species/2476718	CO		LC
gbif.org/species/2476711	CO		LC
gbif.org/species/2476699	CO		LC
gbif.org/species/2476710	CO		LC
gbif.org/species/2476708	CO		LC
gbif.org/species/2476911	CO		LC
gbif.org/species/2476903	CO		NT
gbif.org/species/2476907	CO		LC
gbif.org/species/2476905	CO		LC
gbif.org/species/2477005	CO		LC
gbif.org/species/2477010	CO		LC
gbif.org/species/2477001	CO		LC
gbif.org/species/2476245	CO		VU
gbif.org/species/2476168	CO		LC
gbif.org/species/2476388	CO		LC
gbif.org/species/2476385	CO		LC
gbif.org/species/2476681	CO		LC
gbif.org/species/2476693	CO		LC
gbif.org/species/5228496	CO		LC
gbif.org/species/5228490	CO		LC
gbif.org/species/2476057	CO	Endémica	EN
gbif.org/species/2476052	CO		LC
gbif.org/species/8847274	CO	Endémica	VU
gbif.org/species/7858664	CO	Endémica	CR
gbif.org/species/5228550	CO	Endémica	LC
gbif.org/species/2476804	CO		LC
gbif.org/species/2476800	CO		LC
gbif.org/species/2476811	CO		LC
gbif.org/species/2476805	CO		LC
gbif.org/species/2476860	CO		LC
gbif.org/species/2476870	CO		EN
gbif.org/species/2476875	CO		LC
gbif.org/species/2476336	CO		LC
gbif.org/species/2476344	CO		NT
gbif.org/species/5788552	CO	Endémica	CR
gbif.org/species/5228524	CO		LC
gbif.org/species/5228538	CO		NT
gbif.org/species/5228535	CO		CR
gbif.org/species/5228537	CO		NT
gbif.org/species/5228518	CO		LC
gbif.org/species/5228534	CO		LC
gbif.org/species/5228536	CO	Endémica	CR
gbif.org/species/6101165	CO		LC
gbif.org/species/2476308	CO		LC
gbif.org/species/2477062	CO		LC
gbif.org/species/2477042	CO		LC
gbif.org/species/2477039	CO	Endémica	VU
gbif.org/species/2477053	CO		LC
gbif.org/species/2477041	CO	Endémica	LC
gbif.org/species/2477035	CO	Endémica	CR
gbif.org/species/2477040	CO		LC
gbif.org/species/2477033	CO		LC
gbif.org/species/2477050	CO		LC
gbif.org/species/2476238	CO		LC
gbif.org/species/2476884	CO		LC
gbif.org/species/2476159	CO		LC
gbif.org/species/2476787	CO		LC
gbif.org/species/2476790	CO		LC
gbif.org/species/2476786	CO		LC
gbif.org/species/2476351	CO		LC
gbif.org/species/2476897	CO		LC
gbif.org/species/8165005	CO		LC
gbif.org/species/2476279	CO		LC
gbif.org/species/2476281	CO		LC
gbif.org/species/2476952	CO		VU
gbif.org/species/2476935	CO		LC
gbif.org/species/2476943	CO		LC
gbif.org/species/2476931	CO		LC
gbif.org/species/2476948	CO		LC
gbif.org/species/2476953	CO		LC
gbif.org/species/2476938	CO		LC
gbif.org/species/2476964	CO		LC
gbif.org/species/2476985	CO		LC
gbif.org/species/2476994	CO		LC
gbif.org/species/2476998	CO		LC
gbif.org/species/5788533	CO		LC
gbif.org/species/5228583	CO		VU
gbif.org/species/5228575	CO		LC
gbif.org/species/5228584	CO	Endémica	LC
gbif.org/species/5228579	CO		LC
gbif.org/species/2476373	CO		LC
gbif.org/species/5228511	CO		LC
gbif.org/species/2476094	CO		LC
gbif.org/species/2476063	CO		LC
gbif.org/species/2476077	CO		LC
gbif.org/species/2476076	CO	Endémica	LC
gbif.org/species/2476065	CO		LC
gbif.org/species/2476069	CO		LC
gbif.org/species/2476066	CO		LC
gbif.org/species/2476226	CO		LC
gbif.org/species/5228486	CO	Endémica	VU
gbif.org/species/7516718	CO	Endémica	VU
gbif.org/species/2476116	CO		LC
gbif.org/species/2476125	CO		LC
gbif.org/species/2476132	CO	Endémica	EN
gbif.org/species/2476127	CO		NT
gbif.org/species/2476774	CO		LC
gbif.org/species/2476769	CO		LC
gbif.org/species/2476528	CO		LC
gbif.org/species/2476533	CO		LC
gbif.org/species/11110017	CO		NT
gbif.org/species/5228540	CO		LC
gbif.org/species/2476178	CO		LC
gbif.org/species/2476233	CO		LC
gbif.org/species/2476313	CO		LC
gbif.org/species/10918272	CO		LC
gbif.org/species/10902385	CO		LC
gbif.org/species/10755999	CO		LC
gbif.org/species/9088790	CO	Endémica	LC
gbif.org/species/11077667	CO	Endémica	EN
gbif.org/species/11027010	CO		LC
gbif.org/species/2476441	CO		LC
gbif.org/species/10912964	CO		LC
gbif.org/species/11021619	CO		LC
gbif.org/species/11006952	CO		LC
gbif.org/species/2476152	CO		LC
gbif.org/species/10962601	CO		LC
gbif.org/species/10983511	CO	Endémica	CR
gbif.org/species/9134116	CO		LC
gbif.org/species/11038734	CO		LC
gbif.org/species/10941997	CO		LC
gbif.org/species/5228570	CO		LC
gbif.org/species/10925050	CO		LC
gbif.org/species/5788536	CO		LC
gbif.org/species/10933955	CO		LC
gbif.org/species/10933139	CO		LC
gbif.org/species/11080380	CO		LC
gbif.org/species/7342331	CO		LC
gbif.org/species/2496202	CO		LC
gbif.org/species/2474337	CO		LC
gbif.org/species/2474363	CO		NT
gbif.org/species/9395900	CO		LC
gbif.org/species/2474825	CO		LC
gbif.org/species/2474837	CO	Endémica	EN
gbif.org/species/5228136	CO		LC
gbif.org/species/5228154	CO		LC
gbif.org/species/2474486	CO		LC
gbif.org/species/2474489	CO		LC
gbif.org/species/2474493	CO		LC
gbif.org/species/2474585	CO		LC
gbif.org/species/2474599	CO		LC
gbif.org/species/2474589	CO		LC
gbif.org/species/2474590	CO		LC
gbif.org/species/5228186	CO		LC
gbif.org/species/2474400	CO		LC
gbif.org/species/7532956	CO		LC
gbif.org/species/8340372	CO		DD
gbif.org/species/8418047	CO		LC
gbif.org/species/2474711	CO		LC
gbif.org/species/2474707	CO		LC
gbif.org/species/2474448	CO		LC
gbif.org/species/2474669	CO		VU
organismnames.com/details.htm?lsid=5227256	CO		LC
gbif.org/species/2474671	CO		LC
gbif.org/species/2474784	CO		LC
gbif.org/species/2474640	CO		LC
gbif.org/species/2474639	CO		LC
gbif.org/species/7340222	CO		LC
gbif.org/species/2474393	CO		LC
gbif.org/species/2474383	CO		LC
gbif.org/species/2474343	CO		LC
gbif.org/species/2480328	CO		LC
