id	identifier	bibliographicCitation
gbif.org/species/2477472	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477473	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477572	http://www.ebird.org	eBird [online]. 2021. eBird: An online database of bird distribution and abundance (web application www.ebird.org). Ithaca, NY. <http://www.ebird.org>.
gbif.org/species/2477622	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477618	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477630	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477621	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477528	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477533	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477507	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477535	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477560	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477534	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477546	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477557	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477527	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477532	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477556	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2477570	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2497983	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/5959223	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2498402	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2498396	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2498393	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/7373023	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/9751099	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2498003	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2498252	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2498411	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2498275	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/9583342	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/8332393	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/9422220	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/9345027	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2498155	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2498090	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2498112	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2498127	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/8214667	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2498068	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/9362027	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2498177	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2498264	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2498257	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
gbif.org/species/2498250	https://www.itis.gov	ITIS.gov 2023 from the Integrated Taxonomic Information System (ITIS) on-line database
