id	isMarine	isTerrestrial	isInvasive	isExtinct	habitat
gbif.org/species/2477472	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2477473	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2477572	FALSO	VERDADERO	FALSO	FALSO	Grassland
gbif.org/species/2477622	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2477618	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2477630	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2477621	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2477528	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2477533	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2477507	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2477535	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2477560	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2477534	FALSO	VERDADERO	FALSO	FALSO	Shrubland
gbif.org/species/2477546	FALSO	VERDADERO	FALSO	FALSO	Shrubland
gbif.org/species/2477557	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2477527	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2477532	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2477556	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2477570	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2497983	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/5959223	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498402	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498396	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498393	FALSO	VERDADERO	FALSO	FALSO	Riverine
gbif.org/species/7373023	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/9751099	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498003	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498252	FALSO	VERDADERO	VERDADERO	FALSO	Wetland | Humedal
gbif.org/species/2498411	FALSO	VERDADERO	FALSO	FALSO	Riverine
gbif.org/species/2498275	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/9583342	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/8332393	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/9422220	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/9345027	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498155	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498090	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498112	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498127	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/8214667	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498068	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/9362027	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498177	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498264	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498257	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498250	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498375	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498316	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2498305	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482183	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482208	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482216	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482198	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/9462558	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482225	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482224	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482310	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482313	FALSO	VERDADERO	FALSO	FALSO	Shrubland
gbif.org/species/5229450	FALSO	VERDADERO	FALSO	FALSO	Shrubland
gbif.org/species/5229446	FALSO	VERDADERO	FALSO	FALSO	Woodland
gbif.org/species/5229447	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/5229435	FALSO	VERDADERO	FALSO	FALSO	Shrubland
gbif.org/species/5229460	FALSO	VERDADERO	FALSO	FALSO	Shrubland
gbif.org/species/2482254	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/5229436	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482190	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482168	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482178	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482172	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482173	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482171	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482282	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482276	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482278	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2482271	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2474165	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/5228112	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/5228058	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/5228053	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/5228045	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/5228067	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/5228049	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/5228035	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/5228040	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/5228041	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2481110	FALSO	VERDADERO	FALSO	FALSO	Coastal | Costero
gbif.org/species/9691034	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2482044	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2482077	FALSO	VERDADERO	FALSO	FALSO	Wetland | Humedal
gbif.org/species/2482050	FALSO	VERDADERO	FALSO	VERDADERO	Wetland | Humedal
gbif.org/species/2482063	FALSO	VERDADERO	FALSO	FALSO	Human Modified
gbif.org/species/2495414	FALSO	VERDADERO	VERDADERO	FALSO	Woodland
gbif.org/species/2495310	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2495339	FALSO	VERDADERO	FALSO	FALSO	Shrubland
gbif.org/species/2495331	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2495266	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2495295	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2495314	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2495321	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2495284	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2495333	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/5843937	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2496115	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2496121	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2496109	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/8320381	FALSO	VERDADERO	FALSO	FALSO	Shrubland
gbif.org/species/2496060	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2496089	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2496093	FALSO	VERDADERO	FALSO	FALSO	Shrubland
gbif.org/species/2496098	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2496075	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2496081	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
gbif.org/species/2496078	FALSO	VERDADERO	FALSO	FALSO	Forest | Bosque
