id	taxonID	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	taxonRank	scientificNameAuthorship	vernacularName	taxonomicStatus
gbif.org/species/2477472	gbif.org/species/2477472	Nothocercus julius	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Nothocercus	julius	Especie	(Bonaparte, 1854)	Tawny-breasted Tinamou	Válido
gbif.org/species/2477473	gbif.org/species/2477473	Nothocercus bonapartei	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Nothocercus	bonapartei	Especie	(G.R. Gray, 1867)	Highland Tinamou	Válido
gbif.org/species/2477572	gbif.org/species/2477572	Nothoprocta curvirostris	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Nothoprocta	curvirostris	Especie	(Sclater & Salvin, 1873)	Curve-billed Tinamou	Válido
gbif.org/species/2477622	gbif.org/species/2477622	Tinamus tao	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Tinamus	tao	Especie	(Temminck, 1815)	Gray Tinamou	Válido
gbif.org/species/2477618	gbif.org/species/2477618	Tinamus osgoodi	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Tinamus	osgoodi	Especie	(Conover, 1949)	Black Tinamou	Válido
gbif.org/species/2477630	gbif.org/species/2477630	Tinamus major	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Tinamus	major	Especie	(J.F. Gmelin, 1789)	Great Tinamou	Válido
gbif.org/species/2477621	gbif.org/species/2477621	Tinamus guttatus	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Tinamus	guttatus	Especie	(Pelzeln, 1863)	White-throated Tinamou	Válido
gbif.org/species/2477528	gbif.org/species/2477528	Crypturellus berlepschi	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Crypturellus	berlepschi	Especie	(Rothschild, 1897)	Berlepsch's Tinamou	Válido
gbif.org/species/2477533	gbif.org/species/2477533	Crypturellus cinereus	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Crypturellus	cinereus	Especie	(J.F. Gmelin, 1789)	Cinereous Tinamou	Válido
gbif.org/species/2477507	gbif.org/species/2477507	Crypturellus soui	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Crypturellus	soui	Especie	(Hermann, 1783)	Little Tinamou	Válido
gbif.org/species/2477535	gbif.org/species/2477535	Crypturellus obsoletus	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Crypturellus	obsoletus	Especie	(Temminck, 1815)	Brown Tinamou	Válido
gbif.org/species/2477560	gbif.org/species/2477560	Crypturellus undulatus	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Crypturellus	undulatus	Especie	(Temminck, 1815)	Undulated Tinamou	Válido
gbif.org/species/2477534	gbif.org/species/2477534	Crypturellus duidae	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Crypturellus	duidae	Especie	(J.T. Zimmer, 1938)	Gray-legged Tinamou	Válido
gbif.org/species/2477546	gbif.org/species/2477546	Crypturellus erythropus	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Crypturellus	erythropus	Especie	(Pelzeln, 1863)	Red-legged Tinamou	Válido
gbif.org/species/2477557	gbif.org/species/2477557	Crypturellus kerriae	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Crypturellus	kerriae	Especie	(Chapman, 1915)	Choco Tinamou	Válido
gbif.org/species/2477527	gbif.org/species/2477527	Crypturellus variegatus	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Crypturellus	variegatus	Especie	(J.F. Gmelin, 1789)	Variegated Tinamou	Válido
gbif.org/species/2477532	gbif.org/species/2477532	Crypturellus brevirostris	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Crypturellus	brevirostris	Especie	(Pelzeln, 1863)	Rusty Tinamou	Válido
gbif.org/species/2477556	gbif.org/species/2477556	Crypturellus bartletti	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Crypturellus	bartletti	Especie	(P.L. Sclater & Salvin, 1873)	Bartlett's Tinamou	Válido
gbif.org/species/2477570	gbif.org/species/2477570	Crypturellus casiquiare	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Crypturellus	casiquiare	Especie	(Chapman, 1929)	Barred Tinamou	Válido
gbif.org/species/2497983	gbif.org/species/2497983	Anhima cornuta	Animalia	Chordata	Aves	Anseriformes	Anhimidae	Anhima	cornuta	Especie	(Linnaeus, 1766)	Horned Screamer	Válido
gbif.org/species/5959223	gbif.org/species/5959223	Chauna chavaria	Animalia	Chordata	Aves	Anseriformes	Anhimidae	Chauna	chavaria	Especie	(Linnaeus, 1766)	Northern Screamer	Válido
gbif.org/species/2498402	gbif.org/species/2498402	Dendrocygna bicolor	Animalia	Chordata	Aves	Anseriformes	Anatidae	Dendrocygna	bicolor	Especie	(Vieillot, 1816)	Fulvous Whistling-Duck	Válido
gbif.org/species/2498396	gbif.org/species/2498396	Dendrocygna viduata	Animalia	Chordata	Aves	Anseriformes	Anatidae	Dendrocygna	viduata	Especie	(Linnaeus, 1766)	White-faced Whistling-Duck	Válido
gbif.org/species/2498393	gbif.org/species/2498393	Dendrocygna autumnalis	Animalia	Chordata	Aves	Anseriformes	Anatidae	Dendrocygna	autumnalis	Especie	(Linnaeus, 1758)	Black-bellied Whistling-Duck	Válido
gbif.org/species/7373023	gbif.org/species/7373023	Oressochen jubatus	Animalia	Chordata	Aves	Anseriformes	Anatidae	Oressochen	jubatus	Especie	(Bannister, 1870)	Orinoco Goose	Válido
